Дата	N	Курс 100 EUR/UAH
06.03.2017	291	2865.1487
07.03.2017	292	2862.0982
09.03.2017	293	2851.2332
10.03.2017	294	2839.1298
13.03.2017	295	2843.4846
14.03.2017	296	2867.7678
15.03.2017	297	2860.1957
16.03.2017	298	2855.2752
17.03.2017	299	2893.7676
20.03.2017	300	2889.2477
21.03.2017	301	2890.9832
22.03.2017	302	2900.4515
23.03.2017	303	2909.234
24.03.2017	304	2918.4423
27.03.2017	305	2930.8086
28.03.2017	306	2956.7497
29.03.2017	307	2945.033
30.03.2017	308	2906.2707
31.03.2017	309	2896.4193
03.04.2017	310	2888.8948
04.04.2017	311	2881.0968
05.04.2017	312	2888.4397
06.04.2017	313	2899.8254
07.04.2017	314	2890.5208
10.04.2017	315	2867.3357
11.04.2017	316	2848.9982
12.04.2017	317	2855.0442
13.04.2017	318	2850.1649
14.04.2017	319	2855.6654
18.04.2017	320	2850.1218
19.04.2017	321	2867.5785
20.04.2017	322	2872.9145
21.04.2017	323	2875.0111
24.04.2017	324	2859.8728
25.04.2017	325	2893.5627
26.04.2017	326	2900.4728
27.04.2017	327	2896.3263
28.04.2017	328	2889.0636
03.05.2017	329	2903.1096
04.05.2017	330	2896.0928
05.05.2017	331	2894.101
10.05.2017	332	2905.6889
11.05.2017	333	2878.9266
12.05.2017	334	2870.1818
13.05.2017	335	2879.3462
15.05.2017	336	2879.3462
16.05.2017	337	2904.502
17.05.2017	338	2923.2698
18.05.2017	339	2936.8275
19.05.2017	340	2937.3262
22.05.2017	341	2947.8642
23.05.2017	342	2961.6217
24.05.2017	343	2950.0505
25.05.2017	344	2939.9666
26.05.2017	345	2946.6658
29.05.2017	346	2949.6274
30.05.2017	347	2952.2658
31.05.2017	348	2944.3959
01.06.2017	349	2952.2827
02.06.2017	350	2947.3382
06.06.2017	351	2947.9328
07.06.2017	352	2954.8404
08.06.2017	353	2939.4613
09.06.2017	354	2936.2952
12.06.2017	355	2919.7031
13.06.2017	356	2925.3935
14.06.2017	357	2915.8829
15.06.2017	358	2914.4572
16.06.2017	359	2903.9545
19.06.2017	360	2905.8656
20.06.2017	361	2914.3299
21.06.2017	362	2904.4512
22.06.2017	363	2900.8509
23.06.2017	364	2906.8099
26.06.2017	365	2908.4561
27.06.2017	366	2912.7151
29.06.2017	367	2941.3159
30.06.2017	368	2978.6782
03.07.2017	369	2969.7866
04.07.2017	370	2955.3131
05.07.2017	371	2953.7514
06.07.2017	372	2959.0574
07.07.2017	373	2966.9661
10.07.2017	374	2969.741
11.07.2017	375	2961.0954
12.07.2017	376	2962.1079
13.07.2017	377	2966.513
14.07.2017	378	2964.8392
17.07.2017	379	2969.9155
18.07.2017	380	2976.0874
19.07.2017	381	2996.2296
20.07.2017	382	2992.1364
21.07.2017	383	2977.869
24.07.2017	384	3014.0825
25.07.2017	385	3007.8194
26.07.2017	386	3022.1647
27.07.2017	387	3014.0331
28.07.2017	388	3028.7969
31.07.2017	389	3039.6394
01.08.2017	390	3031.9911
02.08.2017	391	3054.2375
03.08.2017	392	3064.2055
04.08.2017	393	3070.0502
07.08.2017	394	3067.0345
08.08.2017	395	3041.8455
09.08.2017	396	3040.0443
10.08.2017	397	3017.7414
11.08.2017	398	3014.2286
14.08.2017	399	3023.1004
15.08.2017	400	3023.6516
16.08.2017	401	3006.262
17.08.2017	402	2994.5655
18.08.2017	403	2983.4847
19.08.2017	404	2992.5731
21.08.2017	405	2992.5731
22.08.2017	406	2992.371
23.08.2017	407	2995.9201
28.08.2017	408	3014.123
29.08.2017	409	3042.7546
30.08.2017	410	3065.0806
31.08.2017	411	3048.0581
01.09.2017	412	3038.3104
04.09.2017	413	3069.2074
05.09.2017	414	3084.1389
06.09.2017	415	3085.9619
07.09.2017	416	3099.9378
08.09.2017	417	3112.841
11.09.2017	418	3144.3995
12.09.2017	419	3120.2641
13.09.2017	420	3104.8423
14.09.2017	421	3124.0804
15.09.2017	422	3109.3556
18.09.2017	423	3137.2233
19.09.2017	424	3128.0675
20.09.2017	425	3127.8569
21.09.2017	426	3144.5894
22.09.2017	427	3123.5364
25.09.2017	428	3141.1454
26.09.2017	429	3122.9967
27.09.2017	430	3109.8185
28.09.2017	431	3108.175
29.09.2017	432	3123.6545
02.10.2017	433	3137.8572
03.10.2017	434	3130.3169
04.10.2017	435	3138.5438
05.10.2017	436	3159.9538
06.10.2017	437	3146.8189
09.10.2017	438	3130.4437
10.10.2017	439	3118.7621
11.10.2017	440	3136.372
12.10.2017	441	3138.8908
13.10.2017	442	3157.8052
17.10.2017	443	3134.1328
18.10.2017	444	3114.2921
19.10.2017	445	3104.728
20.10.2017	446	3136.0041
23.10.2017	447	3136.3674
24.10.2017	448	3120.1109
25.10.2017	449	3136.6534
26.10.2017	450	3154.8499
27.10.2017	451	3152.9325
30.10.2017	452	3118.9344
31.10.2017	453	3115.4288
01.11.2017	454	3126.2018
02.11.2017	455	3121.1202
03.11.2017	456	3136.159
06.11.2017	457	3143.0358
07.11.2017	458	3111.9553
08.11.2017	459	3092.9838
09.11.2017	460	3087.1409
10.11.2017	461	3088.7623
13.11.2017	462	3090.2597
14.11.2017	463	3087.4358
15.11.2017	464	3111.9989
16.11.2017	465	3135.495
17.11.2017	466	3116.5379
20.11.2017	467	3125.5673
21.11.2017	468	3119.2648
22.11.2017	469	3104.3573
23.11.2017	470	3130.8221
24.11.2017	471	3182.5434
27.11.2017	472	3196.5337
28.11.2017	473	3207.3516
29.11.2017	474	3194.5227
30.11.2017	475	3194.9375
01.12.2017	476	3217.6965
04.12.2017	477	3215.4059
05.12.2017	478	3229.0975
06.12.2017	479	3218.1672
07.12.2017	480	3203.4884
08.12.2017	481	3196.2881
11.12.2017	482	3183.1793
12.12.2017	483	3200.9295
13.12.2017	484	3197.6583
14.12.2017	485	3200.1126
15.12.2017	486	3246.7152
18.12.2017	487	3262.5955
19.12.2017	488	3287.6952
20.12.2017	489	3296.7613
21.12.2017	490	3300.1202
22.12.2017	491	3303.4353
26.12.2017	492	3313.0227
27.12.2017	493	3312.2695
28.12.2017	494	3324.47
29.12.2017	495	3349.5424
30.12.2017	496	3349.5424
31.12.2017	497	3349.5424
01.01.2018	498	3349.5424
02.01.2018	499	3349.5424
03.01.2018	500	3349.5424
04.01.2018	501	3353.2796
05.01.2018	502	3379.8126
09.01.2018	503	3397.091
10.01.2018	504	3365.2111
11.01.2018	505	3397.1913
12.01.2018	506	3418.3211
15.01.2018	507	3463.4916
16.01.2018	508	3507.2521
17.01.2018	509	3504.21
18.01.2018	510	3498.1281
19.01.2018	511	3520.9253
22.01.2018	512	3534.9322
23.01.2018	513	3534.1137
24.01.2018	514	3535.6522
25.01.2018	515	3565.4501
26.01.2018	516	3566.4229
29.01.2018	517	3550.3086
30.01.2018	518	3496.6361
31.01.2018	519	3478.9719
01.02.2018	520	3468.4639
02.02.2018	521	3472.2563
05.02.2018	522	3483.6614
06.02.2018	523	3451.1605
07.02.2018	524	3385.6502
08.02.2018	525	3346.0206
09.02.2018	526	3323.2353
12.02.2018	527	3320.8954
13.02.2018	528	3291.4342
14.02.2018	529	3292.8469
15.02.2018	530	3291.33
16.02.2018	531	3343.1024
19.02.2018	532	3364.1444
20.02.2018	533	3352.1795
21.02.2018	534	3340.8014
22.02.2018	535	3322.7674
23.02.2018	536	3323.3394
26.02.2018	537	3319.335
27.02.2018	538	3327.2144
28.02.2018	539	3314.8962
01.03.2018	540	3274.0257
02.03.2018	541	3245.9444
03.03.2018	542	3267.1005
05.03.2018	543	3267.1005
06.03.2018	544	3259.1496
07.03.2018	545	3270.1691
12.03.2018	546	3240.0861
13.03.2018	547	3189.2458
14.03.2018	548	3207.8685
15.03.2018	549	3217.6689
16.03.2018	550	3242.3082
19.03.2018	551	3241.7945
20.03.2018	552	3254.0127
21.03.2018	553	3228.7252
22.03.2018	554	3228.8805
23.03.2018	555	3233.3994
26.03.2018	556	3242.7359
27.03.2018	557	3264.6378
